Gene.symbol,Gene.ID,adj.P.Val,logFC
MPO,4353,3.61781344674176e-19,5.56350115651022
FLT3,2322,9.67143114852784e-19,5.25006452716441
ATP8B4,79895,1.39634858572643e-08,4.94131554926645
KIT,3815,1.71462288276249e-14,4.86400851021202
KIAA0101,9768,1.89244801614385e-18,4.55913523978119
ECRP///ECRP,643332///643332,1.81368245182078e-14,4.55318219877211
GUCY1A3,2982,2.81803470870236e-12,4.32681910592404
CA1,759,1.1065349522632e-08,4.0873061195635
CD36,948,0.0210523660263806,4.07533112537755
MAMDC2,256691,3.40028025790853e-09,4.03101040741496
NPR3,4883,2.02897149178865e-07,3.95660212524943
RNASE2,6036,0.00437693721510842,3.93552028796259
P2RY10,27334,0.00117814984251448,-3.9154159548424
EMP1,2012,2.01113262767587e-09,3.85759896180386
NPR3,4883,5.68945365537034e-08,3.84670478722336
MEIS1,4211,4.63832393086605e-06,3.84381492650227
CD34,947,2.31432632380739e-06,3.78719466711451
CPXM1,56265,7.91083848817963e-16,3.77695351746145
TFPI,7035,2.44151990824281e-10,3.73332428403401
,,3.17805019805575e-10,3.72489085148073
ERG,2078,4.969058290878e-11,3.71863879951814
DTL,51514,1.99179607376033e-14,3.67921774278912
TYMS,7298,1.14693650730783e-14,3.67035228143312
HIST1H1B,3009,2.24095483252344e-09,3.65320296992631
F13A1,2162,0.00474410402701391,3.64797805632993
MYB///MYB,4602///4602,3.3044270599291e-11,3.59896533199547
DEPTOR,64798,4.2050728898078e-12,3.5786581114932
HLA-F///HLA-B,3134///3106,8.39845411513896e-10,-3.5597800243424
MGST1,4257,7.24066259715347e-05,3.55908251756916
CPA3,1359,3.10166406504801e-05,3.55737886008617
PROM1,8842,0.000201389662697638,3.50223780437982
NRG4,145957,6.99667888413631e-14,3.4068875179161
AKR1C3,8644,4.40723812889069e-08,3.35897752504989
MSRB3,253827,4.01190869349359e-08,3.33957525768254
IL18,3606,1.50977170882247e-07,3.31645985812472
SEPP1,6414,8.05517685399158e-06,3.31207688986281
CTSG,1511,3.73071344447496e-12,3.30185340424944
TOP2A,7153,2.94430588428871e-15,3.29810352836282
IGF2BP2,10644,2.18445152426614e-12,3.27423061079705
NCAPG,64151,4.2768100960106e-15,3.22796342043764
HIST1H3B,8358,3.48346349950749e-07,3.20618480107483
TPX2,22974,3.28687043509002e-17,3.15641491614173
ARHGAP11A,9824,8.70454396485703e-13,3.15486511828005
FCMR,9214,0.00313173942486326,-3.1385934638322
SYNE2,23224,0.000906049715165637,-3.1322003497415
VSIG1,340547,0.15678340621356,-3.12615281122902
HBG2///HBG1,3048///3047,3.78715596793631e-05,3.12595460139569
GNA15,2769,1.02617893660286e-06,3.12382054370748
LYZ,4069,1,3.10664746804989
IGSF10,285313,5.32562556705434e-08,3.10337514562472
HBD,3045,2.11994506259583e-09,3.08403686212018
PRC1,9055,1.12570274444903e-15,3.0800967854263
MRC1,4360,1.11949909054555e-13,3.04859703215193
NREP,9315,9.40149104466574e-07,3.03882826571656
RASGRP1,10125,0.025899353531229,-3.03558222286848
MAML2///MAML2,84441///84441,5.08115831829865e-08,-3.03228845008163
VNN2,8875,0.390278656892559,-3.02284771403628
FADS2,9415,1.71129819506927e-10,3.0180668554127
SUCNR1,56670,9.69286340727596e-18,2.99681551599093
IQCJ-SCHIP1///SCHIP1,100505385///29970,2.91513670932991e-08,2.98840263598186
GPR155,151556,9.59584117915195e-08,-2.97689855293424
ANGPT1,284,1.62942716659951e-05,2.96306563134694
CDK6,1021,3.08277818843853e-07,2.95157788754196
CHEK1,1111,6.91717478382739e-12,2.94682724253969
HPGDS,27306,8.76250756951795e-06,2.94246814301928
SLC4A1,6521,1.1105904955302e-06,2.92151844780045
KIAA0040,9674,1.04276183201909e-06,-2.90610416002607
CYBRD1,79901,0.130798874109603,2.89213288310317
THBS1,7057,0.173955156235554,2.89162989493085
CCNB1,891,1.36999221468021e-08,2.88296874581747
SLC27A2,11001,8.41671670408816e-09,2.87837900868934
CLU,1191,3.87826039611425e-08,2.87071390229365
KIAA1324,57535,0.0892159317765598,-2.86807449707823
B4GALT6,9331,9.45803464495615e-11,2.86674268376191
LPCAT2,54947,1,2.85921844195692
LOC100996333///ADGRA3,100996333///166647,7.97298879745435e-07,2.8340477885034
SCCPDH,51097,4.70905404880083e-12,2.83305394852834
KIF23,9493,9.18695848336421e-15,2.82172753519388
CENPF,1063,2.40208135629647e-12,2.82096547029252
,,2.50302577954991e-08,-2.82076337907936
VCAN,1462,1,2.81411948249433
GCSAML,148823,2.84016661625302e-06,2.80025297073696
NUAK2,81788,3.20542060360601e-08,-2.79883463635941
TFEC,22797,0.126576839666176,2.79779996217234
GOLIM4,27333,1.09650425888836e-06,2.78840746111565
STMN1,3925,6.56707185250535e-08,2.78817411842404
,,3.62118331905607e-07,2.78375587689796
,,0.0419488432207757,2.7803919582551
FADS1,3992,2.9608971580229e-06,2.78004630070522
MMRN1,22915,0.000159153292660605,2.77742745314059
IRAK3,11213,1,2.77658048890476
HOXA10-HOXA9///HOXA9,100534589///3205,0.00927138161143506,2.77123471573243
MKI67,4288,5.3122341608659e-11,2.77092991224377
CCNB2,9133,2.45474681454037e-11,2.76990424326418
TARP,445347,1,2.76201952867801
BUB1B,701,6.6561728073848e-18,2.75655355297846
CCDC88A,55704,2.07779436871139e-06,2.74652024237415
SNORD116-24,100033435,1,-2.74645117715533
AIM2,9447,0.0244593963701871,-2.73901916538209
SCML2,10389,2.3140901551861e-10,2.73607206330612
DLGAP5,9787,3.60156420310927e-11,2.7354726752449
ATP1B1,481,4.59790322868745e-06,2.71843911241951
ADAM19,8728,8.75469622514706e-07,-2.70379740020295
HLA-F///HLA-B,3134///3106,2.36703872818059e-11,-2.70225779257937
CD27,939,0.107110988210986,-2.68828237597846
EREG,2069,0.0766269577626242,2.67188918917008
GVINP1,387751,1.53420413413164e-08,-2.67165897819841
GPR15,2838,0.395844130778267,-2.66803159914059
GOLGA8R///GOLGA8O///GOLGA8N,101059918///728047///643699,6.46878922609208e-13,2.66116588276758
PYGL,5836,1,2.65526760387415
B3GNT5,84002,1,2.6525367546508
MME,4311,1,-2.64353726737868
ANLN,54443,1.11656756529966e-15,2.64104618221089
PLD1,5337,0.00107334350088382,2.64055965123016
ITGA9,3680,4.26613735915877e-06,2.63793711892744
SLC44A2,57153,4.47954626135982e-10,-2.631501501839
S100Z,170591,0.000493529579038176,2.62621064128345
BTBD3,22903,2.64469638843468e-08,2.62499377581519
ST8SIA6,338596,0.0123087821674776,2.62075359908391
CLSPN///CLSPN,63967///63967,1.76855332951644e-12,2.6115634559093
CA2,760,0.000309008132115473,2.5981438674161
KIF11,3832,2.3367329731171e-12,2.59310933700227
IKZF3,22806,1,-2.58920004207369
HBB,3043,1,2.58584158079252
MLC1,23209,7.07072593652325e-08,2.57996738389683
TMEM154,201799,0.0254156347839068,-2.57900857509637
CYTL1,54360,3.59409557549499e-08,2.56250573951587
IL1B,3553,1,2.55606196694898
SLC22A16,85413,8.96073969330625e-12,2.55296814786621
CCR7,1236,1,-2.55243349475283
KCTD3,51133,7.85050990257353e-06,2.54505579981407
FANCI,55215,2.84883900278157e-13,2.54306870017461
PLA2G4A,5321,0.000231732068869033,2.53690689356916
FAM65B,9750,3.26356234894256e-08,-2.53671656473809
KCNK5,8645,1.08864296805645e-12,2.53546041605783
AKTIP,64400,5.03013816219922e-08,-2.53454908048866
AHSP,51327,3.27104441567847e-05,2.53185206239456
PLXNB2,23654,9.08293243117268e-05,2.53162028295918
MACC1,346389,0.00098335488573257,2.53140293629252
CD33,945,0.0505001388468319,2.52472505464172
SHCBP1,79801,6.06091480844414e-08,2.52342777230726
MIR221,407006,1.94178941188076e-06,2.52216713421089
C10orf11,83938,9.46992040514027e-06,2.51896990687755
DAPK1,1612,1,2.51417678524263
GYPA,2993,0.000186685962451549,2.51280925080159
HIVEP2,3097,1.00894033039383e-06,-2.51260306338209
ASPM,259266,4.49835643244905e-13,2.50196107826077
PIWIL4,143689,1.279413694903e-09,2.49464297530159
TC2N,123036,1,-2.48802211199659
CD48,962,0.00332102862235289,-2.47890760807142
CPVL,54504,0.802807961742321,2.47667032478118
EXO1,9156,1.88423960020908e-13,2.47469098344444
GIMAP4,55303,1,-2.46433188744218
HBA2///HBA1,3040///3039,0.271375413193765,2.46227868743991
ELANE,1991,6.76089315336599e-12,2.46212724019615
TM4SF1,4071,0.00143178112426464,2.46197752621429
LTBP1,4052,1.53105346257331e-06,2.46006516774943
STON2,85439,3.57132970811683e-05,2.45221377557824
CDCA7,83879,4.44218056401396e-08,2.44337689993424
C1orf186,440712,6.00940427881025e-08,2.44328734627891
PLK4,10733,6.55750277696858e-10,2.43962155542631
NUF2,83540,2.81301372213102e-12,2.43885440219048
TEC,7006,6.75290714453934e-09,2.43482497904989
HACD1,9200,1.38780223151871e-08,2.43456299142517
CDC6,990,8.3553132542699e-10,2.43377175435601
FCRL3,115352,1,-2.43354527426531
LY96,23643,1,-2.43193841067347
ZFP36L1,677,0.000120696771115085,-2.42089885633334
SERPINB2,5055,0.480266210959,2.41449862848072
BCAT1,586,0.000143880941164285,2.40401696969502
,,1,2.40386364427552
AZU1,566,1.45688878314605e-11,2.40197318979705
NME1-NME2///NME1,654364///4830,4.16367950540486e-05,2.39566283855555
SLAIN1,122060,7.37557411800325e-06,-2.39562579207483
RAB13,5872,4.03825965302563e-07,2.39548287940476
,,1,2.39378213424151
EPDR1,54749,1.21326139184283e-10,2.39016296317574
CXCR1,3577,1,-2.38888778749206
NLRP3,114548,0.268464587210866,2.38085846874603
,,2.52791419342356e-12,2.38054530960884
FAM198B,51313,1,2.37691364330272
,,5.54172091379573e-05,2.37648786159865
FAM72A///FAM72D///FAM72B,729533///728833///653820,8.0255603119528e-08,2.37433039602154
KIF20A,10112,4.95228282578454e-12,2.37317675069275
PRELID2,153768,3.67976920514768e-07,2.3715020677619
